,,,,,,
,,,,,,
Question,Option A,Option B,Option C,Option D,Hint,Answer
What is the capital of France?,London,Paris,Rome,Madrid,The Eiffel Tower is located here.,Paris
"Who wrote ""Romeo and Juliet""?",Charles Dickens,Mark Twain,William Shakespeare,Jane Austen,He is famous for writing tragedies.,William Shakespeare
What is the hardest natural substance on Earth?,Gold,Diamond,Iron,Silver,It's often used in jewelry.,Diamond
Which planet is known as the Red Planet?,Venus,Mars,Jupiter,Saturn,It’s named after the Roman god of war.,Mars
In which year did the Titanic sink?,1910,1912,1915,1920,The sinking happened on April 15.,1912
Who painted the Mona Lisa?,Vincent van Gogh,Pablo Picasso,Leonardo da Vinci,Michelangelo,He was a Renaissance artist.,Leonardo da Vinci
What is the longest river in the world?,Nile,Amazon,Yangtze,Mississippi,It's located in Africa.,Nile
What is the largest ocean on Earth?,Atlantic Ocean,Pacific Ocean,Indian Ocean,Arctic Ocean,It covers more than one-third of the Earth’s surface.,Pacific Ocean
Who discovered America?,Christopher Columbus,Vasco da Gama,Marco Polo,Ferdinand Magellan,He arrived in the Americas in 1492.,Christopher Columbus
What is the smallest country in the world?,Vatican City,Monaco,Nauru,San Marino,It is an independent city-state surrounded by Rome.,Vatican City
"Who is the author of the ""Harry Potter"" series?",J.R.R. Tolkien,J.K. Rowling,Suzanne Collins,C.S. Lewis,She is from the United Kingdom.,J.K. Rowling
What is the chemical symbol for gold?,Ag,Au,Pb,Fe,It’s a precious yellow metal.,Au
What year did World War II end?,1941,1945,1950,1960,It ended with the surrender of Nazi Germany.,1945
Which planet is closest to the Sun?,Venus,Earth,Mercury,Mars,It’s the smallest planet in the solar system.,Mercury
What is the largest country in the world by area?,United States,China,Russia,Canada,It spans across Europe and Asia.,Russia
In which year did the first man land on the Moon?,1965,1969,1972,1980,The mission was Apollo 11.,1969
What is the primary ingredient in guacamole?,Tomatoes,Avocados,Potatoes,Onions,It’s a green fruit often used in Mexican cuisine.,Avocados
What does DNA stand for?,Deoxyribonucleic Acid,Deoxyribose Nucleic Acid,Dimethyl Nitrogen Acid,Dihydroxy Nucleic Acid,It carries genetic information.,Deoxyribonucleic Acid
Who was the first president of the United States?,Abraham Lincoln,George Washington,Thomas Jefferson,John Adams,"He is known as the ""Father of His Country.""",George Washington
What is the tallest mountain in the world?,K2,Mount Kilimanjaro,Mount Everest,Mount Fuji,It is located in the Himalayas.,Mount Everest
What is the currency of Japan?,Yuan,Won,Yen,Ringgit,It’s one of the most traded currencies in the world.,Yen
Who invented the telephone?,Nikola Tesla,Thomas Edison,Alexander Graham Bell,Samuel Morse,He is Scottish-American.,Alexander Graham Bell
What is the largest animal on Earth?,Elephant,Blue Whale,Shark,Giraffe,This marine animal is known for its massive size.,Blue Whale
Which country is famous for the Eiffel Tower?,Italy,France,Spain,Germany,It is located in Paris.,France
What is the capital of Japan?,Kyoto,Osaka,Tokyo,Nagoya,It hosted the 2020 Summer Olympics.,Tokyo
Which element has the atomic number 1?,Oxygen,Hydrogen,Nitrogen,Carbon,It is the most abundant element in the universe.,Hydrogen
What is the name of the longest bone in the human body?,Femur,Tibia,Humerus,Radius,It’s located in the leg.,Femur
Who is the Greek god of thunder?,Zeus,Poseidon,Apollo,Hermes,He is the king of the gods in Greek mythology.,Zeus
What is the capital of Australia?,Sydney,Melbourne,Canberra,Brisbane,It is located in the Australian Capital Territory.,Canberra
What is the largest desert in the world?,Kalahari Desert,Arabian Desert,Sahara Desert,Gobi Desert,It is located in North Africa.,Sahara Desert
What is the first letter of the Greek alphabet?,Beta,Gamma,Alpha,Omega,"It’s also a symbol for ""beginning"" in various contexts.",Alpha
What is the national animal of Canada?,Beaver,Eagle,Lion,Kangaroo,It is known for its role in building dams.,Beaver
"What color is the ""Ex"" in the FedEx logo?",Blue,Green,Red,Purple,The logo has a hidden arrow between the letters.,Purple
In which country was the first modern Olympic Games held?,France,United States,Greece,England,It took place in 1896.,Greece
"What is the name of the famous wizarding school in the ""Harry Potter"" series?",Durmstrang Institute,Beauxbatons Academy,Hogwarts School of Witchcraft and Wizardry,Ilvermorny School,It is located in Scotland.,Hogwarts School of Witchcraft and Wizardry
Which famous scientist developed the theory of relativity?,Isaac Newton,Albert Einstein,Nikola Tesla,Galileo Galilei,He won the Nobel Prize in Physics in 1921.,Albert Einstein
"What animal is known as the ""King of the Jungle""?",Elephant,Tiger,Lion,Gorilla,It is the largest wild cat in Africa.,Lion
"Who is known as the ""Father of Computers""?",Charles Babbage,Alan Turing,Bill Gates,Steve Jobs,He conceptualized the first mechanical computer.,Charles Babbage
Which ocean is the largest in the world?,Atlantic Ocean,Pacific Ocean,Indian Ocean,Southern Ocean,It covers a third of the Earth’s surface.,Pacific Ocean
What is the capital of Italy?,Rome,Venice,Florence,Milan,The Colosseum is located here.,Rome
What is the smallest planet in the solar system?,Mercury,Mars,Venus,Neptune,It’s closest to the Sun.,Mercury
Which instrument has 88 keys?,Violin,Flute,Piano,Guitar,It is commonly found in orchestras.,Piano
Which country is known as the Land of the Rising Sun?,China,Japan,South Korea,India,It is an island nation in East Asia.,Japan
What is the chemical symbol for water?,H2O,CO2,O2,CH4,It’s the most common liquid on Earth.,H2O
"Who painted the ""Starry Night""?",Claude Monet,Vincent van Gogh,Edgar Degas,Paul Cézanne,He was a Dutch Post-Impressionist artist.,Vincent van Gogh
What is the main ingredient in traditional sushi?,Rice,Fish,Seaweed,Soy sauce,It’s often paired with wasabi.,Rice
What is the capital of Canada?,Toronto,Ottawa,Vancouver,Montreal,It is located in Ontario.,Ottawa
Who was the first woman to win a Nobel Prize?,Marie Curie,Florence Nightingale,Ada Lovelace,Rosalind Franklin,She won Nobel Prizes in both Physics and Chemistry.,Marie Curie
What is the national flower of Japan?,Rose,Chrysanthemum,Lotus,Orchid,It blooms in the fall.,Chrysanthemum
Which of the following is NOT a primary color?,Blue,Red,Green,Yellow,Primary colors are used to create all other colors.,Green
Who invented the light bulb?,Nikola Tesla,Thomas Edison,Alexander Graham Bell,Benjamin Franklin,He also developed the phonograph.,Thomas Edison
In which city is the famous statue of Christ the Redeemer?,Rio de Janeiro,Buenos Aires,Lima,Santiago,It overlooks the city from the top of Mount Corcovado.,Rio de Janeiro
Which animal is the symbol of Australia?,Koala,Kangaroo,Platypus,Dingo,It is known for hopping and carrying young in a pouch.,Kangaroo
What is the tallest building in the world?,Burj Khalifa,Empire State Building,Shanghai Tower,One World Trade Center,"It is located in Dubai, United Arab Emirates.",Burj Khalifa
What is the name of the ship that brought the Pilgrims to America in 1620?,Mayflower,Santa Maria,Titanic,Nina,"It carried settlers to Plymouth, Massachusetts.",Mayflower
Which ocean is located between Africa and Australia?,Indian Ocean,Atlantic Ocean,Southern Ocean,Pacific Ocean,It is the third-largest ocean in the world.,Indian Ocean
What is the name of the largest volcano on Earth?,Mount St. Helens,Mauna Loa,Vesuvius,Kilauea,It is located in Hawaii.,Mauna Loa
"What is the first book in the ""Lord of the Rings"" series?",The Hobbit,The Two Towers,The Fellowship of the Ring,Return of the King,It was published in 1954.,The Fellowship of the Ring.